superkingdom	kingdom	phylum	class	order	family	genus	species
Bacteria	NA	Actinobacteria	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Catenulispora acidiphila
Bacteria	NA	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	NA
Bacteria	NA	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	NA	uncultured Veillonellaceae bacterium
Bacteria	NA	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	NA	NA
Bacteria	NA	Firmicutes	Bacilli	NA	NA	NA	NA
Bacteria	NA	Firmicutes	Clostridia	NA	NA	NA	NA
Bacteria	NA	Firmicutes	Negativicutes	NA	NA	NA	NA
Bacteria	NA	Firmicutes	Tissierellia	NA	NA	Ezakiella	Ezakiella massiliensis
Bacteria	NA	Firmicutes	NA	NA	NA	NA	endosymbiont 'TC1' of Trimyema compressum
Bacteria	NA	Firmicutes	NA	NA	NA	NA	Firmicutes bacterium enrichment culture clone fosmid MGS-M1
Bacteria	NA	Firmicutes	NA	NA	NA	NA	uncultured Firmicutes bacterium
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium parvulum
Bacteria	NA	Firmicutes	NA	NA	NA	NA	NA
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium hwasookii
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium periodonticum
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	NA
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter insuetus
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp. GAM18
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter	Ilyobacter polytropus
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium	Propionigenium maris
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Psychrilyobacter	Psychrilyobacter atlanticus
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	NA	NA
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia buccalis
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia goodfellowii
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia hofstadii
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia hongkongensis
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia trevisanii
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	Leptotrichia wadei
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	NA
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	Sebaldella termitidis
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia amnii
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus moniliformis
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	NA	NA
Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	NA	NA	NA
Bacteria	NA	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas aurantiaca
Bacteria	NA	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas phototrophica
Bacteria	NA	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella timonensis
Bacteria	NA	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	Gemmatirosa kalamazoonesis
Bacteria	NA	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	NA
Bacteria	NA	Gemmatimonadetes	NA	NA	NA	NA	uncultured Gemmatimonadetes bacterium Rifle_16ft_4_minimus_37772
Bacteria	NA	Gemmatimonadetes	NA	NA	NA	NA	NA
Bacteria	NA	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium album
Bacteria	NA	Ignavibacteriae	Ignavibacteria	NA	NA	NA	uncultured Ignavibacteria bacterium Rifle_16ft_4_minimus_38491
Bacteria	NA	Ignavibacteriae	Ignavibacteria	NA	NA	NA	NA
Bacteria	NA	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella glycovorans
Bacteria	NA	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	NA	NA	Kiritimatiellales bacterium
Bacteria	NA	Lentisphaerae	Lentisphaeria	Victivallales	NA	NA	Victivallales bacterium CCUG 44730
Bacteria	NA	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	uncultured Nitrospina sp.
Bacteria	NA	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	NA	uncultured marine Nitrospinaceae bacterium
Bacteria	NA	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Candidatus Nitrospira inopinata
Bacteria	NA	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira defluvii
Bacteria	NA	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira japonica
Bacteria	NA	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira moscoviensis
Bacteria	NA	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	NA
Bacteria	NA	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Kuenenia	Candidatus Kuenenia stuttgartiensis
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	NA
Bacteria	NA	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	NA	NA
Bacteria	NA	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	Gemmata obscuriglobus
Bacteria	NA	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	Gemmata sp. SH-PL17
Bacteria	NA	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	Gemmata	NA
Bacteria	NA	Planctomycetes	Planctomycetia	Gemmatales	Gemmataceae	NA	Gemmataceae bacterium PX52
Bacteria	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Aquisphaera	Aquisphaera giovannonii
Bacteria	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Paludisphaera	Paludisphaera borealis
Bacteria	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila
Bacteria	NA	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	NA	NA
Bacteria	NA	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	Phycisphaera mikurensis
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella catena
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Lacipirellulaceae	Bythopirellula	Bythopirellula goksoyri
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Lacipirellulaceae	NA	Planctomycetes bacterium I41
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Mariniblastus	Mariniblastus fucicola
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula sp. CS158
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula sp. SH-Sr6A
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula staleyi
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Rhodopirellula	Rhodopirellula baltica
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Roseimaritima	Roseimaritima ulvae
Bacteria	NA	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	NA	NA
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Fuerstia	Fuerstia marisgermanicae
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	NA	NA
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gimesia	Gimesia maris
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Planctomyces sp. SH-PL14
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Planctomyces sp. SH-PL62
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	Planctopirus ephydatiae
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	Planctopirus limnophila
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctopirus	NA
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera brasiliensis
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	Planctomycetaceae bacterium
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	planctomycete str. 670
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	NA	NA
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	Planctomycetales bacterium
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured Planctomycetales bacterium HF0500_02G17
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured planctomycete
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured planctomycete 13FN
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured planctomycete 6FN
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured planctomycete 6N14
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	uncultured planctomycete 8FN
Bacteria	NA	Planctomycetes	Planctomycetia	Planctomycetales	NA	NA	NA
Bacteria	NA	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	Anaerohalosphaera	Anaerohalosphaera lusitana
Bacteria	NA	Planctomycetes	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Limihaloglobus	Limihaloglobus sulfuriphilus
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	uncultured Collinsella sp.
Bacteria	NA	Planctomycetes	Phycisphaerae	Sedimentisphaerales	NA	NA	NA
Bacteria	NA	Planctomycetes	Phycisphaerae	NA	NA	NA	Phycisphaerae bacterium RAS2
Bacteria	NA	Planctomycetes	Planctomycetia	NA	NA	NA	uncultured Planctomycetia bacterium
Bacteria	NA	Planctomycetes	Planctomycetia	NA	NA	NA	NA
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA11
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA12
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium CA51
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium EC9
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium ElP
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Enr13
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Enr17
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium ETA_A1
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium ETA_A8
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium FF011L
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium HG15A2
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium HG66A1
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K22_7
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K23_9
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium K2D
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium KS4
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal33
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal35
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal4
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal48
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal52
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Mal65
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium MalM14
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium MalM25
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	NA	Coriobacteriaceae bacterium 68-1-3
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan110
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan161
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan181
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan189
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan241w
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan258
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan265
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan44
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pan97
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla110
Bacteria	NA	Actinobacteria	Coriobacteriia	Coriobacteriales	NA	NA	NA
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla163
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla175
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Pla85_3_4
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Poly24
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Poly30
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Q31a
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium Spa11
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium SRT547
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium SV_7m_r
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium TBK1r
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium argentoratense
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium V144
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	Planctomycetes bacterium V22
Bacteria	NA	Planctomycetes	NA	NA	NA	NA	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Acidiferrobacter	Acidiferrobacter sp. SPIII_3
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfuricaulis	Sulfuricaulis limicola
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis	Sulfurifustis variabilis
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus caldus
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferridurans
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus sp. 'AMD consortium'
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus thiooxidans
Bacteria	NA	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas caviae
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas dhakensis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas encheleia
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas media
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas piscicola
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas rivipollensis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas salmonicida
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas schubertii
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas simiae
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sobria
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH1
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH2
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH3
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH4
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH5
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. ASNIH7
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. CA23
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas sp. CU5
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas taiwanensis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas tecta
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanimonas	Oceanimonas sp. GK1
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Oceanisphaera avium
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Oceanisphaera profunda
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium crudilactis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Tolumonas auensis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Zobellella	Zobellella denitrificans
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	NA	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans gilvus
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas addita
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas australica
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas naphthalenivorans
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. 76-1
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium cystitidis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. BL110
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. I4
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. MB-3u-76
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. Mex14
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. RKMC-009
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas sp. RW2A1
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas stellipolaris
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-39-D07
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-G15-32
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-G15-5
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium deserti
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-G18-2
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-G18-4
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	uncultured Alteromonas sp. AD1000-G20-15
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Catenovulum maritimum
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Catenovulum sediminis
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Catenovulum sp. CCB-QB4
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	NA
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola nitratireducens
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola sp. 4H-3-7+YE-5
Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola sp. THG-3.7
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Halioxenophilus	Halioxenophilus aromaticivorans
Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Hydrocarboniclastica	Hydrocarboniclastica marina
